               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.040255,            0.014884,                   0,             0.42492,             0.36364,             0.24457,            0.063928,            0.053669,           0.0091607,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,             0.03862,            0.012013,                   0,             0.36689,             0.42424,              0.2751,            0.055698,            0.052819,           0.0088914,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.039309,            0.011766,                   0,             0.33298,             0.27273,             0.13495,            0.042812,            0.054801,           0.0088345,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.035346,            0.013774,                   0,             0.41278,             0.30303,             0.17827,            0.044822,            0.052744,           0.0091367,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.036956,            0.011529,                   0,             0.33294,             0.33333,             0.20147,            0.055124,            0.051682,           0.0088176,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.035987,            0.012974,                   0,             0.33251,             0.30303,             0.17866,            0.050284,             0.05224,           0.0090642,                   0,           0.0068457,           0.0068457,           0.0068457
                 123,             0.04061,            0.012815,                   0,             0.38008,             0.24242,              0.1626,            0.065967,            0.052506,           0.0090549,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,            0.040631,            0.012674,                   0,             0.29044,              0.3598,             0.23628,            0.072095,            0.052097,           0.0093831,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,             0.03966,            0.014165,                   0,             0.42738,             0.30303,             0.24149,            0.072754,            0.054204,           0.0097454,                   0,           0.0067101,           0.0067101,           0.0067101
                 126,            0.038144,            0.011835,                   0,             0.58706,             0.30303,             0.27382,            0.076913,            0.053122,           0.0095257,                   0,           0.0066647,           0.0066647,           0.0066647
                 127,            0.036705,             0.01232,                   0,             0.34184,             0.36364,             0.27808,            0.096413,            0.051912,           0.0094832,                   0,           0.0066191,           0.0066191,           0.0066191
                 128,            0.036427,            0.010692,                   0,             0.34958,             0.42348,             0.28374,            0.084337,            0.050903,           0.0092752,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.037556,            0.012465,                   0,              0.4277,              0.2718,             0.26644,            0.079392,            0.052645,           0.0091191,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.038318,            0.011584,                   0,             0.56237,             0.27273,             0.29377,            0.075415,            0.053568,           0.0089156,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,            0.034083,            0.011212,                   0,             0.45358,             0.30303,             0.24671,            0.080358,            0.053282,           0.0087937,                   0,           0.0064356,           0.0064356,           0.0064356
                 132,            0.036042,            0.012051,                   0,             0.43202,             0.42424,             0.29172,            0.096939,            0.053322,           0.0092032,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,            0.032008,            0.010764,                   0,             0.55545,             0.45436,             0.35678,             0.10945,            0.052649,           0.0087366,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.035917,            0.010977,                   0,             0.51414,             0.51515,             0.40999,             0.12125,            0.051963,           0.0091193,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,            0.036486,            0.011388,                   0,             0.56424,             0.39394,             0.33813,             0.11424,              0.0537,           0.0093699,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,            0.037838,            0.012397,                   0,             0.61038,             0.33333,             0.35738,             0.10685,            0.052157,           0.0085084,                   0,            0.006204,            0.006204,            0.006204
                 137,             0.03553,            0.010694,                   0,             0.46426,              0.3939,             0.35542,             0.10631,            0.052482,           0.0083925,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.038952,            0.013067,                   0,             0.46239,             0.42424,             0.32129,            0.087661,            0.053604,           0.0084719,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.035058,            0.011949,                   0,             0.43699,             0.42424,             0.31521,            0.068925,            0.053447,           0.0088808,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.039079,            0.012804,                   0,             0.41864,             0.39394,             0.28827,            0.079246,             0.05306,           0.0094001,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,            0.035277,            0.011836,                   0,             0.35266,             0.36364,             0.24825,            0.054396,            0.053376,           0.0088261,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.035001,            0.012461,                   0,             0.38217,             0.39394,             0.25561,            0.059468,            0.052626,           0.0094185,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.035875,            0.010661,                   0,             0.45766,             0.33333,             0.22929,            0.057382,            0.054174,           0.0092047,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.033982,            0.012321,                   0,             0.30699,             0.39394,             0.27029,            0.068988,            0.053015,           0.0096726,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,            0.036793,            0.011541,                   0,             0.28946,             0.33333,             0.22332,            0.066494,            0.052995,           0.0091484,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.032694,            0.010621,                   0,             0.24503,             0.42424,             0.22932,            0.070162,            0.052708,           0.0088111,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.032979,            0.011742,                   0,             0.36545,             0.45377,             0.26872,            0.084924,            0.053344,           0.0090272,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.033038,             0.01156,                   0,             0.46818,             0.45353,             0.32053,             0.11214,            0.051547,           0.0090241,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.033027,            0.010216,                   0,             0.68736,             0.33312,             0.36582,              0.1346,            0.050873,           0.0094942,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.034443,            0.010921,                   0,             0.59963,             0.36364,             0.36023,             0.13906,            0.051909,           0.0098949,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.032407,            0.011793,                   0,              0.3655,             0.45455,             0.31876,             0.12505,            0.052211,           0.0097577,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.033019,            0.012923,                   0,             0.47539,             0.30303,             0.27437,             0.11647,            0.052318,           0.0098528,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.034949,            0.010944,                   0,             0.49501,             0.41608,             0.27939,            0.085916,            0.050991,           0.0091991,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.035496,              0.0125,                   0,             0.58785,             0.30303,             0.28347,            0.075357,            0.051772,           0.0095221,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.032452,           0.0093701,                   0,             0.40622,             0.39394,             0.23834,            0.071841,            0.053173,           0.0094941,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.034831,            0.011652,                   0,             0.53315,             0.48485,             0.35896,            0.083642,            0.052154,           0.0093723,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.031432,            0.010456,                   0,             0.51704,             0.45455,             0.32389,            0.091809,            0.053574,           0.0086734,                   0,           0.0052174,           0.0052174,           0.0052174
                 158,            0.034299,            0.010864,                   0,             0.49977,             0.45415,             0.30968,            0.097974,            0.051687,           0.0080217,                   0,           0.0051704,           0.0051704,           0.0051704
                 159,             0.03426,            0.011291,                   0,             0.39322,             0.39394,             0.23695,            0.099704,            0.051479,           0.0080776,                   0,           0.0051234,           0.0051234,           0.0051234
                 160,            0.035466,            0.010508,                   0,             0.44437,             0.36354,             0.25303,            0.084389,            0.049724,           0.0080083,                   0,           0.0050765,           0.0050765,           0.0050765
                 161,            0.033135,            0.011064,                   0,             0.54505,             0.36307,             0.31114,             0.10841,            0.048403,           0.0080303,                   0,           0.0050296,           0.0050296,           0.0050296
                 162,            0.032323,            0.010179,                   0,             0.57889,             0.33326,             0.30575,             0.10024,            0.049887,            0.007859,                   0,           0.0049828,           0.0049828,           0.0049828
                 163,            0.033969,             0.01068,                   0,             0.44374,             0.36364,             0.29177,            0.090159,            0.051278,           0.0079936,                   0,            0.004936,            0.004936,            0.004936
                 164,            0.033652,            0.010651,                   0,             0.39999,             0.36364,             0.22707,            0.091924,            0.050734,            0.008026,                   0,           0.0048893,           0.0048893,           0.0048893
                 165,            0.030904,            0.013116,                   0,             0.35552,             0.48485,              0.2873,            0.096932,            0.050865,           0.0080725,                   0,           0.0048426,           0.0048426,           0.0048426
                 166,            0.033104,            0.010838,                   0,              0.4176,             0.39394,             0.27165,             0.10655,            0.051894,           0.0081728,                   0,            0.004796,            0.004796,            0.004796
