               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.046105,            0.022022,                   0,             0.52933,             0.57246,              0.5056,             0.17962,            0.051139,            0.018532,                   0,            0.008682,            0.008682,            0.008682
                  77,             0.04645,            0.021488,                   0,             0.63083,             0.68116,             0.66474,             0.21764,            0.047252,            0.017965,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.046977,            0.022711,                   0,             0.64788,             0.58696,             0.61485,             0.20645,            0.046806,            0.018379,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.046184,            0.022132,                   0,             0.59469,             0.63043,             0.61426,             0.20957,            0.048443,             0.01851,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.044819,            0.022076,                   0,             0.63618,             0.55797,             0.53914,             0.18158,             0.05013,            0.018791,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.046927,            0.021783,                   0,             0.72636,             0.55797,             0.64802,             0.23615,            0.047442,            0.018198,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.045007,            0.022739,                   0,             0.67721,             0.52174,             0.62901,             0.22333,            0.047255,            0.018226,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.046302,             0.02285,                   0,             0.62269,             0.69565,             0.68931,             0.24757,            0.044673,            0.018063,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.044799,            0.020737,                   0,             0.61649,              0.6087,             0.60234,             0.22668,            0.046183,            0.018581,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,             0.04639,            0.021723,                   0,             0.66655,             0.60839,             0.65466,             0.22053,            0.046558,            0.018881,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.045903,            0.022213,                   0,             0.68458,             0.64482,             0.65803,             0.21375,            0.048811,            0.017958,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.044419,            0.022406,                   0,             0.66658,             0.55051,             0.62198,             0.21337,            0.049187,             0.01883,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.043705,            0.020907,                   0,             0.78116,             0.54321,             0.65134,             0.23531,            0.046995,            0.018787,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.044097,            0.021745,                   0,             0.62597,             0.68116,             0.65808,             0.22612,            0.047577,            0.017549,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.044123,            0.022056,                   0,             0.69696,             0.65217,              0.6877,               0.262,            0.046058,            0.017468,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.044694,            0.021187,                   0,             0.59563,             0.62974,              0.6387,             0.23136,            0.045699,            0.017993,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.044045,            0.022081,                   0,             0.60273,             0.63767,             0.60514,             0.21374,             0.04685,            0.017748,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.042861,            0.021998,                   0,             0.68928,             0.57869,             0.64674,             0.23924,            0.044212,            0.018167,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.043754,            0.020525,                   0,             0.69313,             0.68744,             0.68899,             0.24197,            0.045217,            0.017443,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.042675,            0.021752,                   0,             0.65375,             0.73881,             0.70837,             0.24557,            0.044468,            0.017702,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.041225,             0.02047,                   0,             0.75992,             0.55072,             0.67846,             0.23264,            0.045088,            0.018191,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.043017,            0.020974,                   0,             0.61588,             0.61579,             0.62091,             0.20801,            0.047214,            0.018194,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.043818,             0.02251,                   0,             0.74993,             0.63021,             0.70118,             0.24981,            0.044597,            0.017727,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,             0.04399,            0.020709,                   0,             0.75655,             0.58549,             0.69417,             0.26003,            0.044886,            0.017965,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,             0.04403,            0.021518,                   0,             0.67875,             0.64305,             0.69072,             0.24726,            0.043985,            0.017947,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.041565,            0.020558,                   0,             0.73947,             0.63759,             0.69422,             0.23454,            0.046065,            0.017392,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.041842,            0.019577,                   0,             0.61813,             0.71739,             0.65422,             0.23541,            0.045153,            0.018171,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.042239,            0.020393,                   0,             0.62459,             0.65217,               0.648,             0.23303,            0.047339,            0.018462,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.042864,            0.021442,                   0,             0.70862,             0.63768,             0.67759,             0.23974,            0.047223,            0.018089,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.042426,            0.021143,                   0,             0.69487,              0.5942,             0.65952,             0.23518,            0.046356,            0.017775,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.042997,            0.019975,                   0,             0.62579,             0.70286,              0.6608,              0.2398,            0.046839,            0.017587,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.041456,            0.021344,                   0,             0.67112,             0.69565,              0.6862,             0.24574,             0.04458,            0.017584,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.043998,            0.020113,                   0,             0.64946,             0.64444,              0.6681,             0.21941,             0.04823,            0.017541,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.042644,            0.020318,                   0,             0.67899,             0.65942,             0.70074,             0.26723,            0.044363,            0.016949,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.041572,            0.021233,                   0,             0.72184,             0.65942,             0.69097,             0.25036,            0.044854,             0.01751,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.040698,            0.019868,                   0,             0.68959,             0.57953,             0.61579,             0.21115,             0.04792,            0.017839,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.043172,            0.020948,                   0,             0.73965,             0.65942,             0.71903,             0.26237,            0.045357,            0.017192,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.041372,            0.020596,                   0,             0.66666,             0.69562,             0.67712,             0.24451,            0.045121,            0.017412,                   0,           0.0072438,           0.0072438,           0.0072438
